queries,sys_a_actual_answer,sys_b_actual_answer,sys_a_Answer Relevancy_score,sys_a_Faithfulness_score,sys_a_Contextual Relevancy_score,sys_b_Answer Relevancy_score,sys_b_Faithfulness_score,sys_b_Contextual Relevancy_score,vLLM_Winner
বয়স্ক ভাতা করার ক্ষেত্রে কি জন্ম নিবন্ধন আবশ্যক?,"দুঃখিত, আমার বর্তমান ডাটাবেসে বয়স্ক ভাতা আবেদনের ক্ষেত্রে জন্ম নিবন্ধন সনদ ""আবশ্যিক"" কিনা তা সম্পর্কে কোনো সুনির্দিষ্ট সরকারি নীতিমালা বা বিধিমালা সংরক্ষিত নেই। সাধারণত বয়স্ক ভাতা প্রাপ্তির ক্ষেত্রে জাতীয় পরিচয়পত্র (NID) বা জন্ম নিবন্ধন সনদ প্রয়োজন হতে পারে, তবে সঠিক ও আপডেট তথ্যের জন্য আপনার নিকটস্থ ইউনিয়ন পরিষদ অফিস বা সমাজসেবা অধিদপ্তরের সাথে যোগাযোগ করাই বুদ্ধিমানের কাজ হবে।","দুঃখিত, আমার বর্তমান ডাটাবেসে বয়স্ক ভাতা প্রাপ্তির ক্ষেত্রে জন্ম নিবন্ধন বা জাতীয় পরিচয়পত্রের প্রয়োজনীয়তা সম্পর্কে কোনো নির্দিষ্ট সরকারি নীতিমালা বা তথ্য সংরক্ষিত নেই। সাধারণত সামাজিক নিরাপত্তা কর্মসূচির আবেদনের ক্ষেত্রে প্রয়োজনীয় কাগজপত্রের তালিকা সংশ্লিষ্ট উপজেলা সমাজসেবা অফিস বা ইউনিয়ন পরিষদ থেকে যাচাই করে নেওয়া উচিত।",1.0,1.0,0.1623931623931624,1.0,1.0,0.012711864406779662,System A
কর্মচারী কল্যাণ তহবিল থেকে অনুদান পেতে একজন চতুর্থ শ্রেনীর কর্মকর্তার কি করনীয়?,"দুঃখিত, আমার বর্তমান ডাটাবেসে চতুর্থ শ্রেণীর কর্মচারীদের জন্য কর্মচারী কল্যাণ তহবিল থেকে অনুদান পাওয়ার নির্দিষ্ট যোগ্যতা বা বিস্তারিত প্রক্রিয়ার তথ্য সংরক্ষিত নেই। তবে সরকারি নীতিমালা অনুযায়ী সাধারণত নিম্নলিখিত ধাপগুলো অনুসরণ করতে হয়:

১. **নীতিমালা পর্যালোচনা:** সংশ্লিষ্ট বিভাগের ওয়েবসাইটে ""কর্মচারী কল্যাণ ও অনুদান তহবিল হতে সাহায্য/অনুদান প্রদান নীতিমালা"" প্রকাশিত থাকে।
২. **আবেদন ফরম:** চতুর্থ শ্রেণীর কর্মচারীদের জন্য ""কর্মচারী কল্যাণ ও অনুদান তহবিল হতে সাহায্যের আবেদন ফরম-১"" বা ""ফরম-২"" সংশ্লিষ্ট বিভাগের ওয়েবসাইট থেকে ডাউনলোড করতে হবে।
৩. **প্রয়োজনীয় কাগজপত্র:** সাধারণত চাকুরীর সনদ, পরিচয়পত্র, আয়-ব্যয়ের বিবরণী এবং প্রয়োজনীয় ক্ষেত্রে চিকিৎসা রিপোর্ট বা অন্যান্য প্রমাণপত্র সংযুক্ত করতে হয়।
৪. **জমা প্রদান:** পূর্ণাঙ্গ আবেদনপত্র সংশ্লিষ্ট বিভাগের মানবসম্পদ বা কর্মচারী কল্যাণ শাখায় জমা দিতে হয়।

আপনার নির্দিষ্ট বিভাগের ওয়েবসাইটে (যেমন: miaebadc.rajbari.gov.bd) ""আইন ও সার্কুলার"" বা ""ফরম"" বিভাগে গিয়ে সংশ্লিষ্ট নীতিমালা এবং ফরম ডাউনলোড করে বিস্তারিত তথ্য জানতে পারেন। অথবা সরাসরি আপনার কর্মস্থলের মানবসম্পদ শাখায় যোগাযোগ করে নির্দেশনা গ্রহণ করা উচিত।","দুঃখিত, আমার বর্তমান ডাটাবেসে চতুর্থ শ্রেণীর কর্মচারীদের জন্য কর্মচারী কল্যাণ তহবিল থেকে অনুদান পাওয়ার সুনির্দিষ্ট প্রক্রিয়া বা নীতিমালা সংরক্ষিত নেই। বাংলাদেশ কর্মচারী কল্যাণ বোর্ড (BKKB) সাধারণত সরকারি কর্মচারীদের জন্য বিভিন্ন ধরনের কল্যাণমূলক সুবিধা (যেমন: চিকিৎসা অনুদান, দাফন অনুদান, শিক্ষাবৃত্তি) প্রদান করে থাকে, তবে চতুর্থ শ্রেণীর কর্মচারীদের জন্য আলাদা কোনো অনুদান প্রক্রিয়া বা নীতিমালা এই তথ্যভাণ্ডারে প্রাপ্ত তথ্যের মধ্যে স্পষ্টভাবে উল্লেখ করা হয়নি।

আপনি যদি আরও বিস্তারিত তথ্য জানতে চান, তবে সরাসরি বাংলাদেশ কর্মচারী কল্যাণ বোর্ডের অফিসিয়াল ওয়েবসাইট (https://bkkb.portal.gov.bd বা https://sss.bkkb.gov.bd) পরিদর্শন করে বা সংশ্লিষ্ট অধিদপ্তরের মানবসম্পদ বিভাগের সাথে যোগাযোগ করে নিশ্চিত হওয়া যেতে পারে।",1.0,0.875,0.34523809523809523,1.0,1.0,JSON_Error,System A
চাকরির জন্য নাগরিক সনদ নিতে কোথায় যেতে হবে?,"সরকারি বিধিমালা অনুযায়ী, চাকরির জন্য নাগরিক সনদ (Citizen Certificate) প্রাপ্তির জন্য আপনাকে আপনার স্থানীয় প্রশাসনের নিকট যোগাযোগ করতে হবে।

১. **গ্রাম বা পৌর এলাকার বাসিন্দা হলে:** আপনার ইউনিয়ন পরিষদ (Union Parishad) বা পৌরসভার (Pourashava) নির্বাহী ম্যাজিস্ট্রেট বা সংশ্লিষ্ট কর্মকর্তার নিকট আবেদন করতে হবে।
২. **সিটি কর্পোরেশন এলাকার বাসিন্দা হলে:** সংশ্লিষ্ট সিটি কর্পোরেশনের নির্ধারিত দপ্তরে আবেদন করতে হবে।

সাধারণত, নাগরিক সনদ প্রদানের ক্ষেত্রে আবেদনকারীর জাতীয় পরিচয়পত্র (NID), জন্ম নিবন্ধন সনদ এবং স্থানীয় প্রশাসনের প্রয়োজনীয় কাগজপত্রাদি জমা দিতে হয়। সরকারি চাকরির আবেদনের ক্ষেত্রে বর্তমানে জাতীয় পরিচয়পত্র (NID) বা জন্ম নিবন্ধন সনদই মূল প্রমাণ হিসেবে গৃহীত হয়। তবে যদি নির্দিষ্টভাবে 'নাগরিক সনদ' প্রয়োজন হয়, তবে আপনার বসবাসকারী ইউনিয়ন পরিষদ বা পৌরসভার দপ্তরে যোগাযোগ করাই সর্বোত্তম পদ্ধতি।

আপনার স্থানীয় ইউনিয়ন পরিষদ বা পৌরসভার ওয়েবসাইট থেকে বা সরাসরি গিয়ে প্রয়োজনীয় ফরম সংগ্রহ এবং আবেদন প্রক্রিয়া সম্পন্ন করতে পারেন।","চাকরির জন্য নাগরিক সনদ (Citizen Certificate) প্রাপ্তির জন্য আপনাকে আপনার বসবাসের স্থানভেদে সংশ্লিষ্ট স্থানীয় প্রশাসনিক অফিসে যোগাযোগ করতে হবে।

১. **গ্রামাঞ্চলে:** আপনার বসবাসের **ইউনিয়ন পরিষদ** অফিসে যোগাযোগ করুন। অনেক ইউনিয়ন পরিষদ ""স্মার্ট ইউপি"" (Smart UP) পোর্টালের মাধ্যমে অনলাইনে নাগরিক সনদ প্রদানের সুবিধা প্রদান করে।
২. **পৌর এলাকায়:** আপনার বসবাসের **পৌরসভা** অফিসে যোগাযোগ করুন।
৩. **মেট্রোপলিটান এলাকায় (ঢাকা, চট্টগ্রাম ইত্যাদি):** আপনার বসবাসের **সিটি কর্পোরেশন** অফিসে যোগাযোগ করুন।

সাধারণত আবেদনের জন্য জন্ম সনদ, পরিচয়পত্র (NID) এবং বসবাসের প্রমাণপত্র (যেমন: ভোটার আইডি কার্ড বা পূর্বের সনদ) প্রয়োজন হতে পারে। নির্দিষ্ট প্রয়োজনীয় কাগজপত্র এবং ফি সংক্রান্ত বিস্তারিত তথ্যের জন্য সরাসরি সংশ্লিষ্ট ইউনিয়ন পরিষদ, পৌরসভা বা সিটি কর্পোরেশনের অফিসে যোগাযোগ করাই বুদ্ধিমানের কাজ হবে।",1.0,1.0,0.05263157894736842,1.0,0.8571428571428571,0.28378378378378377,System B
আমার বাবা মুক্তিযোদ্ধা। মুক্তিযোদ্ধা সনদে তার নাম ভুল এসেছে। কীভাবে তার নাম সংশোধন করব?,"দুঃখিত, আমার বর্তমান ডাটাবেসে মুক্তিযোদ্ধা সনদে নাম সংশোধনের সুনির্দিষ্ট প্রক্রিয়া বা ফরমের বিস্তারিত তথ্য সংরক্ষিত নেই। তবে সাধারণত মুক্তিযোদ্ধা সনদে নাম সংশোধনের জন্য জেলা প্রশাসকের কার্যালয় বা সংশ্লিষ্ট জেলা মুক্তিযোদ্ধা বিষয়ক অফিসে আবেদন করতে হয়। প্রয়োজনীয় কাগজপত্রের মধ্যে জাতীয় পরিচয়পত্র, জন্ম নিবন্ধন সনদ, এফিডেভিট এবং প্রাসঙ্গিক প্রমাণপত্র থাকতে পারে। সঠিক প্রক্রিয়া এবং প্রয়োজনীয় কাগজপত্রের তালিকা জানতে আপনার নিকটস্থ জেলা প্রশাসকের কার্যালয়ে যোগাযোগ করা বা মুক্তিযোদ্ধা বিষয়ক মন্ত্রণালয়ের অফিসিয়াল ওয়েবসাইট (jamuka.gov.bd) পরিদর্শন করার পরামর্শ দেওয়া হলো।","দুঃখিত, আমার বর্তমান ডাটাবেসে মুক্তিযোদ্ধা সনদে নাম সংশোধনের নির্দিষ্ট ধাপ-দর-ধাপ প্রক্রিয়া বা সংশ্লিষ্ট ফরমের বিস্তারিত তথ্য সংরক্ষিত নেই। তবে, মুক্তিযোদ্ধা সনদ সংশোধন সংক্রান্ত বিষয়গুলো বাংলাদেশ সরকারের মুক্তিযোদ্ধা বিষয়ক মন্ত্রণালয়ের অধীনে পরিচালিত হয়।

আপনার বাবার নাম সংশোধনের জন্য নিম্নলিখিত সাধারণ প্রক্রিয়া অনুসরণ করা যেতে পারে (যা সাধারণত প্রচলিত):
১. প্রথমে আপনার বাবা বা তার প্রতিনিধি জেলার মুক্তিযোদ্ধা কমান্ডারের কার্যালয়ে বা উপজেলা মুক্তিযোদ্ধা কমান্ডারের কার্যালয়ে যোগাযোগ করে বিষয়টি জানান।
২. প্রয়োজনীয় কাগজপত্র (যেমন: জাতীয় পরিচয়পত্র, জন্ম নিবন্ধন, পুরনো সনদের কপি, ভুল সংশোধনের জন্য আবেদনপত্র ইত্যাদি) সংগ্রহ করে আবেদন জমা দিতে হবে।
৩. আবেদনটি জেলা মুক্তিযোদ্ধা কমান্ডারের কার্যালয় থেকে জাতীয় মুক্তিযোদ্ধা কাউন্সিলে পাঠানো হয়, যেখান থেকে বিষয়টি যাচাই-বাছাই করে গেজেট সংশোধনের মাধ্যমে নাম সংশোধন করা হয়।

আপনি বিস্তারিত তথ্য এবং আবেদন ফরমের জন্য সরাসরি মুক্তিযোদ্ধা বিষয়ক মন্ত্রণালয়ের অফিসিয়াল পোর্টাল **jamuka.gov.bd** বা আপনার জেলার মুক্তিযোদ্ধা কল্যাণ অফিসে যোগাযোগ করে নিশ্চিত হতে পারেন।",1.0,1.0,0.19444444444444445,0.8888888888888888,1.0,0.21818181818181817,System B
মুক্তিযোদ্ধা গেজেটে নাম ভুল আসলে কীভাবে সংশোধন করতে হবে?,"মুক্তিযোদ্ধা গেজেটে নামের ভুল সংশোধন করার জন্য সংশ্লিষ্ট মুক্তিযোদ্ধা বিষয়ক মন্ত্রণালয়ের অনলাইন পোর্টাল (jamuka.gov.bd) বা সংশ্লিষ্ট জেলা মুক্তিযোদ্ধা কমান্ডের মাধ্যমে আবেদন করতে হয়।

সংশোধনের প্রক্রিয়াটি সাধারণত নিম্নরূপ:
১. **আবেদন পদ্ধতি:** মুক্তিযোদ্ধা গেজেট সংশোধনের সুপারিশের জন্য সংশ্লিষ্ট জেলা মুক্তিযোদ্ধা কমান্ডের মাধ্যমে আবেদন করতে হয়। এছাড়াও, মন্ত্রণালয়ের অনলাইন পোর্টালে ""গেজেট সংশোধন"" বা ""নাম সংশোধন"" বিভাগে সরাসরি আবেদন করার সুযোগ থাকতে পারে।
২. **প্রয়োজনীয় কাগজপত্র:** সাধারণত ভুল সংশোধনের জন্য প্রামাণিক কাগজপত্র (যেমন: জন্মনিবন্ধন সনদ, শিক্ষাগত যোগ্যতার সনদ, বা জাতীয় পরিচয়পত্র) এবং একটি আবেদনপত্র জমা দিতে হয়।
৩. **সংশ্লিষ্ট লিংক:** বিস্তারিত তথ্য এবং আবেদন ফর্মের জন্য আপনি মুক্তিযোদ্ধা বিষয়ক মন্ত্রণালয়ের অফিসিয়াল ওয়েবসাইট [jamuka.gov.bd](https://jamuka.gov.bd) এর ""গেজেট সংশোধন"" বা ""নাম সংশোধন"" বিভাগে ভিজিট করতে পারেন।

আবেদন করার আগে সংশ্লিষ্ট জেলা মুক্তিযোদ্ধা কমান্ডের সাথে যোগাযোগ করে প্রয়োজনীয় কাগজপত্রের তালিকা নিশ্চিত করে নেওয়া উচিত।","মুক্তিযোদ্ধা গেজেটে নামের ভুল সংশোধনের জন্য বাংলাদেশ সরকারের মুক্তিযোদ্ধা বিষয়ক মন্ত্রণালয়ের অধীনস্থ ""জামুকা"" (Jamuka) পোর্টাল (https://jamuka.gov.bd/) মূল সংশ্লিষ্ট মাধ্যম।

সংশোধন প্রক্রিয়া সম্পর্কে সরকারি নীতিমালা অনুযায়ী:
১. **অনলাইন পোর্টাল:** মুক্তিযোদ্ধা বিষয়ক মন্ত্রণালয়ের অফিসিয়াল ওয়েবসাইট ""জামুকা"" (Jamuka) পোর্টালে গেজেট সংশোধন এবং বাতিলের সুপারিশের সুযোগ রয়েছে।
২. **প্রয়োজনীয় নথি:** সংশোধনের জন্য প্রয়োজনীয় ফরম, ক্রোড়পত্র এবং অন্যান্য প্রয়োজনীয় নথি এই পোর্টাল থেকে ডাউনলোড করা যায়।
৩. **সুপারিশ প্রক্রিয়া:** সাধারণত সংশ্লিষ্ট জেলা বা উপজেলা মুক্তিযোদ্ধা কমান্ডের মাধ্যমে জাতীয় মুক্তিযোদ্ধা কাউন্সিলে সংশোধনের সুপারিশ পাঠাতে হয়।

আপনার যদি নির্দিষ্ট ফরমের নাম বা বিস্তারিত ধাপের প্রয়োজন হয়, তবে দয়া করে ""জামুকা"" পোর্টালে গিয়ে ""সংশোধন"" বা ""ফরম"" বিভাগে প্রবেশ করে প্রাসঙ্গিক তথ্য সংগ্রহ করুন অথবা আপনার নিকটস্থ জেলা মুক্তিযোদ্ধা কমান্ডের কার্যালয়ে যোগাযোগ করুন।",1.0,1.0,0.7,1.0,1.0,0.175,System A
সন্তানের অভিভাবকত্ব গ্রহণ আর দত্তক নেওয়ার মধ্যে পার্থক্য কী? ,"দুঃখিত, আমার বর্তমান ডাটাবেসে ""সন্তানের অভিভাবকত্ব গ্রহণ"" এবং ""দত্তক নেওয়ার"" মধ্যে সুনির্দিষ্ট আইনি পার্থক্য বা বিস্তারিত বিধান সংরক্ষিত নেই। পর্যবেক্ষণে কেবল পাসপোর্ট সংক্রান্ত নোটিশ, গ্রাম আদালতের আইন এবং লাইব্রেরি সম্পর্কিত তথ্য পাওয়া গেছে, যেখানে দত্তক বা অভিভাবকত্বের আইনি বিবরণ সরাসরি উল্লেখ নেই।

সঠিক ও বিস্তারিত আইনি তথ্যের জন্য দয়া করে বাংলাদেশের আইন ও বিচার বিভাগের (Law and Justice Division) অফিসিয়াল ওয়েবসাইট (https://bdlaws.minlaw.gov.bd) বা সংশ্লিষ্ট আইনজীবীর পরামর্শ গ্রহণ করুন।","দুঃখিত, আমার বর্তমান ডাটাবেসে ""সন্তানের অভিভাবকত্ব গ্রহণ"" এবং ""দত্তক নেওয়ার"" মধ্যে পার্থক্য সংক্রান্ত কোনো নির্দিষ্ট সরকারি আইনি নীতিমালা বা তথ্য সংরক্ষিত নেই। সাধারণত বাংলাদেশে দত্তক আইন (Adoption Act) এবং অভিভাবকত্ব (Guardianship) সংক্রান্ত বিধানগুলো ভিন্ন ভিন্ন আইনি প্রক্রিয়া এবং ফলাফল বহন করে, তবে সঠিক এবং আপডেট আইনি বিবরণের জন্য আপনাকে আইন মন্ত্রণালয় বা সংশ্লিষ্ট আইনি বিশেষজ্ঞের পরামর্শ গ্রহণ করতে হবে।",0.5,0.4,0.046296296296296294,0.6666666666666666,1.0,0.0,System B
চারিত্রিক সনদ নিতে কোথায় যোগাযোগ করতে হবে?,"বাংলাদেশে চারিত্রিক সনদ (Character Certificate) প্রাপ্তির জন্য সাধারণত নিম্নলিখিত স্থানগুলোর সাথে যোগাযোগ করতে হয়:

১. **স্থানীয় ইউনিয়ন পরিষদ:** আপনি যে ইউনিয়নে বাস করেন, সেই ইউনিয়ন পরিষদের কার্যালয়ে যোগাযোগ করলে চারিত্রিক সনদ প্রদান করা হয়।
২. **পৌরসভা বা সিটি কর্পোরেশন:** আপনি যদি পৌরসভা বা সিটি কর্পোরেশনের আওতাভুক্ত এলাকায় বাস করেন, তবে সংশ্লিষ্ট পৌরসভা বা সিটি কর্পোরেশনের 'সনদ/প্রত্যয়ন' বিভাগে যোগাযোগ করতে হবে।
৩. **থানা:** কিছু ক্ষেত্রে, বিশেষ করে শিক্ষা প্রতিষ্ঠান বা চাকরির ক্ষেত্রে, থানার মাধ্যমেও চারিত্রিক সনদ প্রদান করা হয়।

সাধারণত আবেদনকারীর নিজস্ব বাসস্থানের স্থানীয় প্রশাসনিক কাঠামো (ইউনিয়ন/পৌরসভা/থানা) থেকেই এই সনদ প্রদান করা হয়। নির্দিষ্ট প্রয়োজনীয় কাগজপত্র এবং ফি সংক্রান্ত বিস্তারিত তথ্যের জন্য সংশ্লিষ্ট ইউনিয়ন পরিষদ, পৌরসভা বা থানার কার্যালয়ে সরাসরি যোগাযোগ করাই শ্রেয়।","দুঃখিত, আমার বর্তমান ডাটাবেসে ""চারিত্রিক সনদ"" প্রাপ্তির জন্য নির্দিষ্ট যোগাযোগের ঠিকানা বা প্রক্রিয়ার কোনো সরাসরি তথ্য সংরক্ষিত নেই।

তবে বাংলাদেশের সরকারি প্রচলিত প্রক্রিয়া অনুযায়ী, চারিত্রিক সনদ সাধারণত নিম্নলিখিত সংস্থাগুলোর মাধ্যমে প্রদান করা হয়:
১. **উপজেলা প্রশাসন:** আপনার বসবাসকৃত উপজেলার **উপজেলা নির্বাহী কর্মকর্তা (ইউএনও)** কার্যালয়ে আবেদন করা হয়।
২. **পুলিশ বিভাগ:** সংশ্লিষ্ট **থানা পুলিশ** (থানার অফিসার ইনচার্জ) কার্যালয়ে আবেদন করা হয়।

আপনার সুবিধার্থে আপনার স্থানীয় উপজেলা প্রশাসন বা থানা পুলিশের যোগাযোগের তথ্য সরাসরি সংশ্লিষ্ট স্থানীয় প্রশাসনিক ওয়েবসাইট থেকে যাচাই করে নেওয়াই বুদ্ধিমানের কাজ হবে।",1.0,1.0,0.6666666666666666,0.8,1.0,0.2876712328767123,System A
ঢাকায় ইন্টারমিডিয়েট পড়ুয়া নারি শিক্ষার্থীদের উপবৃত্তির ব্যবস্থা আছে কী?,System Failsafe Triggered: Agent exceeded safe computation limits.,"গণপ্রজাতন্ত্রী বাংলাদেশ সরকারের বর্তমান সরকারি নীতিমালা অনুযায়ী, ঢাকাসহ সারা দেশে মাধ্যমিক (ইন্টারমিডিয়েট) স্তরের শিক্ষার্থীদের জন্য ""নারী শিক্ষার্থী"" নামে কোনো স্বতন্ত্র বা বিশেষ উপবৃত্তি নীতিমালা আলাদাভাবে সংরক্ষিত নেই।

তবে, শিক্ষা মন্ত্রণালয়ের অধীনে পরিচালিত **""হারমোনাইজড স্টাইপেন্ড প্রোগ্রাম (HSP)""** বা সমন্বিত উপবৃত্তি কর্মসূচির আওতায় ৬ষ্ঠ থেকে ১২শ শ্রেণি পর্যন্ত (মাধ্যমিক স্তর সহ) দরিদ্র ও প্রতিভাবান শিক্ষার্থীদের জন্য উপবৃত্তির সুযোগ রয়েছে। এই প্রোগ্রামের আওতায় নারী শিক্ষার্থীরাও পুরুষ শিক্ষার্থীদের মতোই যোগ্যতার ভিত্তিতে উপবৃত্তির সুযোগ পান।

সুতরাং, ঢাকায় ইন্টারমিডিয়েট পড়ুয়া নারী শিক্ষার্থীরা যদি দরিদ্র বা প্রতিভাবান হন, তবে তারা HSP প্রোগ্রামের আওতায় উপবৃত্তির জন্য আবেদন করতে পারেন। নির্দিষ্ট আবেদন প্রক্রিয়া এবং যোগ্যতার বিস্তারিত তথ্যের জন্য শিক্ষার্থীকে তাদের শিক্ষা প্রতিষ্ঠানের মাধ্যমে সংশ্লিষ্ট উপজেলা/জেলা মাধ্যমিক শিক্ষা অফিসে যোগাযোগ করতে হবে অথবা সরকারি হারমোনাইজড স্টাইপেন্ড প্রোগ্রামের (HSP) অফিসিয়াল পোর্টাল (hsp.pmeat.gov.bd) পরিদর্শন করতে হবে।",0.0,1.0,0.34210526315789475,1.0,1.0,0.21428571428571427,System B
প্রধানমন্ত্রীর শিক্ষা ট্রাস্ট কোন কোন ক্ষেত্রে শিক্ষার্থীদের বৃত্তি দিয়ে থাকে?,"প্রধানমন্ত্রীর শিক্ষা সহায়তা ট্রাস্ট (PMET) কর্তৃক শিক্ষার্থীদের বৃত্তি ও আর্থিক সহায়তা প্রদানের ক্ষেত্রসমূহ নিম্নরূপ:

১. **সমন্বিত উপবৃত্তি কর্মসূচি:** ষষ্ঠ শ্রেণি হতে দ্বাদশ শ্রেণি (বা সমমান) পর্যন্ত শিক্ষার্থীদের জন্য এই কর্মসূচি চালু রয়েছে।

২. **ই-স্টাইপেন্ড:** স্নাতক (সম্মান) ও সমমান শ্রেণির শিক্ষার্থীদের জন্য ই-স্টাইপেন্ড ম্যানেজমেন্ট সিস্টেমের মাধ্যমে বৃত্তি প্রদান করা হয়।

৩. **ভর্তি সহায়তা:** মাধ্যমিক হতে স্নাতক পর্যন্ত শিক্ষা প্রতিষ্ঠানে ভর্তির জন্য আর্থিক সহায়তা প্রদান করা হয়।

৪. **চিকিৎসা অনুদান:** দুর্ঘটনায় আহত শিক্ষার্থীদের চিকিৎসা খরচের জন্য এককালীন অনুদান প্রদান করা হয়।

৫. **উচ্চ শিক্ষা ও গবেষণা ফেলোশিপ:** এম.ফিল (M.Phil) ও পিএইচডি (PhD) পর্যায়ে গবেষণা ও উচ্চ শিক্ষার জন্য ফেলোশিপ ও বৃত্তি প্রদান করা হয়। এম.ফিল কোর্সে মাসিক ১০,০০০ টাকা এবং পিএইচডি কোর্সে মাসিক ১৫,০০০ টাকা হারে নির্দিষ্ট মেয়াদে এই ফেলোশিপ প্রদান করা হয়।

এছাড়াও, দরিদ্র ও মেধাবী শিক্ষার্থীদের জন্য বিভিন্ন ধরনের উপবৃত্তি ও আর্থিক সহায়তার আবেদন গ্রহণের মাধ্যমে এই ট্রাস্ট কার্যক্রম পরিচালনা করে। আবেদন প্রক্রিয়া ও বিস্তারিত তথ্যের জন্য ট্রাস্টের অফিসিয়াল ই-সেবা পোর্টাল (eservice.pmeat.gov.bd) পরিদর্শন করা যেতে পারে।","দুঃখিত, আমার বর্তমান ডাটাবেসে প্রধানমন্ত্রীর শিক্ষা ট্রাস্ট (PMET) কোন কোন ক্ষেত্রে শিক্ষার্থীদের বৃত্তি প্রদান করে, সেই সম্পর্কে কোনো নির্দিষ্ট তথ্য বা নীতিমালা সংরক্ষিত নেই। সরকারি ওয়েবসাইটগুলোতে সাধারণ তথ্য থাকলেও এই নির্দিষ্ট বৃত্তির শ্রেণি বা ক্ষেত্রগুলোর বিস্তারিত তথ্য এই ডাটাবেসে প্রাপ্ত হয়নি। সঠিক ও আপডেট তথ্যের জন্য সরাসরি প্রধানমন্ত্রীর কার্যালয় বা সংশ্লিষ্ট শিক্ষা মন্ত্রণালয়ের অফিসিয়াল ওয়েবসাইট (যেমন: cao.gov.bd বা education.gov.bd) পরিদর্শন করার পরামর্শ দেওয়া হলো।",1.0,JSON_Error,0.4230769230769231,0.6,1.0,0.0,System A
জেলা লেভেলে শিশুদের চিকিৎসায় এনআইসিইউ সুবিধা কোন কোন হাসপাতালে পাওয়া যাবে?,"দুঃখিত, আমার বর্তমান ডাটাবেসে জেলা পর্যায়ে শিশুদের চিকিৎসার জন্য এনআইসিইউ (NICU) সুবিধা প্রদানকারী হাসপাতালগুলোর একটি সম্পূর্ণ বা নির্দিষ্ট তালিকা সংরক্ষিত নেই। সাধারণত জেলা সদর হাসপাতাল বা মেডিকেল কলেজ হাসপাতালে এনআইসিইউ সুবিধা থাকে। সঠিক ও আপডেট তথ্যের জন্য আপনার নিকটস্থ জেলা প্রশাসক অফিস বা স্বাস্থ্য অধিদপ্তরের জেলা কার্যালয়ে যোগাযোগ করুন।","দুঃখিত, আমার বর্তমান ডাটাবেসে জেলা পর্যায়ে শিশুদের চিকিৎসার জন্য এনআইসিইউ (NICU) সুবিধা প্রদানকারী নির্দিষ্ট হাসপাতালগুলোর একটি সম্পূর্ণ তালিকা সংরক্ষিত নেই। সাধারণত প্রতিটি জেলার সদর হাসপাতাল বা জেনারেল হাসপাতালে এনআইসিইউ সুবিধা থাকার সম্ভাবনা রয়েছে, তবে সঠিক ও আপডেট তালিকা জানতে আপনার স্থানীয় জেলা প্রশাসক অফিস বা স্বাস্থ্য অধিদপ্তরের সাথে যোগাযোগ করা অথবা বাংলাদেশ সরকারের স্বাস্থ্য ও পরিবার কল্যাণ মন্ত্রণালয়ের অফিসিয়াল ওয়েবসাইট পরিদর্শন করা উত্তম।",0.6666666666666666,1.0,0.051470588235294115,1.0,1.0,0.11594202898550725,System B
